machinery, mechanical, 1000, 1500, 3000, 60, 80, 100
mechanical, mechanical, 1000, 1500, 3000, 60, 80, 100
melodic, music, 1000, 1500, 3000, 50, 80, 100
melody, music, 1000, 1500, 3000, 50, 80, 100
metro, traffic, 1000, 1500, 3000, 70, 90, 100
microphone, music, 1000, 1500, 3000, 70, 80, 120
motor, traffic, 1000, 1500, 3000, 70, 85, 100
music, music, 1000, 1500, 3000, 30, 70, 100
nature, nature, 1000, 1500, 3000, 30, 60, 80
ocean, nature, 1000, 1500, 3000, 30, 70, 85
orchestra, music, 1000, 1500, 3000, 60, 80, 100
organ, music, 1000, 1500, 3000, 70, 80, 100
park, nature, 1000, 1500, 3000, 30, 70, 80
people, human, 1000, 1500, 3000, 70, 80, 90
percussion, music, 1000, 1500, 3000, 70, 80, 100
percussive, music, 1000, 1500, 3000, 70, 80, 100
piano, music, 1000, 1500, 3000, 80, 80, 100
plane, traffic, 1000, 1500, 3000, 80, 80, 100
playing, music, 1000, 1500, 3000, 75, 80, 100
race, traffic, 1000, 1500, 3000, 85, 80, 120
radio, music, 1000, 1500, 3000, 50, 60, 80
rail, traffic, 1000, 1500, 3000, 80, 90, 100
railway, traffic, 1000, 1500, 3000, 80, 90, 100
rain, nature, 1000, 1500, 3000, 30, 65, 80
recording, music, 1000, 1500, 3000, 80, 90, 100
resonance, music, 1000, 1500, 3000, 80, 90, 100
resonant, music, 1000, 1500, 3000, 80, 90, 100
reverb, traffic, 1000, 1500, 3000, 80, 90, 100
rhythm, music, 1000, 1500, 3000, 80, 90, 100
rhythmic, music, 1000, 1500, 3000, 80, 90, 100
ring, mechanical, 1000, 1500, 3000, 80, 90, 100
ringing, mechanical, 1000, 1500, 3000, 80, 90, 100
river, nature, 1000, 1500, 3000, 30, 70, 100
road, traffic, 1000, 1500, 3000, 70, 85, 100
roar, nature, 1000, 1500, 3000, 80, 80, 100
running, human, 1000, 1500, 3000, 30, 60, 70
sax, music, 1000, 1500, 3000, 60, 80, 100
saxophone, music, 1000, 1500, 3000, 60, 80, 100
school, human, 1000, 1500, 3000, 60, 80, 100
scream, human, 1000, 1500, 3000, 80, 90, 120
screaming, human, 1000, 1500, 3000, 80, 90, 120
sea, nature, 1000, 1500, 3000, 60, 80, 90
shore, nature, 1000, 1500, 3000, 60, 80, 90
shout, human, 1000, 1500, 3000, 60, 80, 90
sing, music, 1000, 1500, 3000, 60, 80, 90
singing, music, 1000, 1500, 3000, 60, 80, 90
song, music, 1000, 1500, 3000, 60, 80, 90
speak, human, 1000, 1500, 3000, 60, 70, 90
speaking, human, 1000, 1500, 3000, 60, 80, 90
speech, human, 1000, 1500, 3000, 60, 80, 100
splash, nature, 1000, 1500, 3000, 60, 80, 100
spoken, human, 1000, 1500, 3000, 70, 80, 100
storm, nature, 1000, 1500, 3000, 70, 80, 100
street, traffic, 1000, 1500, 3000, 60, 85, 100
subway, traffic, 1000, 1500, 3000, 60, 90, 100
synth, music, 1000, 1500, 3000, 70, 80, 100
synthesizer, music, 1000, 1500, 3000, 70, 80, 100
talk, human, 1000, 1500, 3000, 50, 70, 80
talking, human, 1000, 1500, 3000, 50, 70, 80
thunder, nature, 1000, 1500, 3000, 70, 80, 100
thunderstorm, nature, 1000, 1500, 3000, 70, 85, 100
tools, mechanical, 1000, 1500, 3000, 50, 80, 100
traffic, traffic, 1000, 1500, 3000, 70, 80, 100
train, traffic, 1000, 1500, 3000, 70, 90, 100
trains, traffic, 1000, 1500, 3000, 70, 90, 100
trees, nature, 1000, 1500, 3000, 30, 40, 50
truck, traffic, 1000, 1500, 3000, 70, 80, 100
trumpet, music, 1000, 1500, 3000, 80, 80, 100
tube, traffic, 1000, 1500, 3000, 80, 85, 100
underground, traffic, 1000, 1500, 3000, 80, 85, 100
vehicle, traffic, 1000, 1500, 3000, 80, 85, 100
violin, music, 1000, 1500, 3000, 75, 80, 100
vocal, music, 1000, 1500, 3000, 75, 80, 100
vocals, music, 1000, 1500, 3000, 75, 80, 100
voice, human, 1000, 1500, 3000, 60, 70, 90
voices, human, 1000, 1500, 3000, 60, 70, 90
walk, human, 1000, 1500, 3000, 30, 70, 80
walking, human, 1000, 1500, 3000, 30, 80, 100
water, nature, 1000, 1500, 3000, 30, 60, 900
waves, nature, 1000, 1500, 3000, 30, 70, 100
whistle, music, 4000, 5000, 10000, 30, 40, 60
wind, nature, 1000, 1500, 3000, 30, 40, 60
wood, nature, 1000, 1500, 3000, 30, 40, 60
woods, nature, 1000, 1500, 3000, 30, 40, 60
woodwind, music, 1000, 1500, 3000, 30, 40, 60
yell, human, 1000, 1500, 3000, 70, 80, 90
yelling, human, 1000, 1500, 3000, 70, 80, 90
